ID,Tables,Rows,m1,m0,none,d01,d10,a00,a11,none_01,none_10,none_00,none_11
AISFU4P55HYEH,114,1076.0,15.34558505220268,84.34719887955188,4.504512562600797,2.187770562770562,1.3431669637551993,82.15942831678134,14.002418088447484,1.503787878787879,0.4978354978354978,8.298915626856802,4.0066770647653005
AMA18W8F60Y2J,44,392.0,6.320689033189035,32.04772727272743,2.621248196248197,0.15656565656565657,0.390494227994228,31.89116161616177,5.930194805194807,0.19642857142857142,0.26785714285714285,2.813906926406927,2.353391053391054
A109CH3492UU42,70,561.0,11.954761904761893,48.44345238095238,3.664285714285714,0.575,1.2958333333333332,47.86845238095239,10.658928571428566,0.26785714285714285,0.22916666666666666,5.669642857142858,3.4351190476190476
A3I9XLIHPPWPN1,120,1128.0,17.187678253119415,87.97830829301446,4.638423096511331,1.6617307529072232,1.8559523809523808,86.3165775401072,15.331725872167027,1.6942640692640694,0.2777777777777778,8.501326288090988,4.360645318733554
A2JPOXYZM5AJZZ,140,1364.0,28.776856803327444,94.25340272472647,8.032080256344958,0.2833333333333333,9.944375477463698,93.97006939139314,18.83248132586368,0.35497835497835495,1.5016806722689076,8.582681860623033,6.530399584076053
A1NF6PELRKACS9,78,860.0,11.323688566335608,58.12383286648034,3.9818245480010193,0.08333333333333333,2.8084691452338517,58.040499533147006,8.51521942110176,0.3214285714285714,0.5529942279942279,4.24922544775486,3.4288303200067918
A3V9JFVZQ2XF4Y,28,239.0,4.601190476190476,19.730952380952367,1.3875,0.5791666666666666,0.0,19.151785714285694,4.601190476190476,0.0,0.16666666666666666,2.280357142857143,1.2208333333333334
A266GU3J5H4TRL,2,14.0,0.4583333333333333,1.25,0.0,0.125,0.0,1.125,0.4583333333333333,0.0,0.0,0.29166666666666663,0.0
A2UF2FRGVW4T89,32,412.0,2.712481962481962,26.30483405483426,1.079004329004329,1.079004329004329,0.4898989898989899,25.225829725829918,2.2225829725829724,0.27344877344877344,0.0,1.6302308802308803,1.079004329004329
A1IFIK8J49WBER,48,512.0,5.765682030387906,36.917451829216525,2.6768101179865895,0.7597402597402596,0.8741193447075799,36.15771156947629,4.89156268568033,0.25,0.5057720057720058,2.3900560224089644,2.1710381122145823
A3LRZX8477TYYZ,18,180.0,2.4084967320261432,13.349673202614358,0.8398692810457518,0.1111111111111111,0.4444444444444444,13.238562091503248,1.9640522875816995,0.0,0.16993464052287582,1.4019607843137254,0.6699346405228759
A365SN61J4UNGR,6,82.0,0.6029411764705883,4.946078431372549,0.16666666666666666,0.08333333333333333,0.11764705882352941,4.862745098039216,0.48529411764705876,0.14215686274509803,0.0,0.14215686274509803,0.16666666666666666
